subid,depressionDepth_m,depressionAreaFrac,deprCatchAreaFrac,
114098,0.322281451,0.040133293,0.808602946,
114198,0.136404495,0.036221676,1,
113764,1.390175912,0.097172045,1,
113756,0.372663878,0.028966495,0.998683866,
114058,0.626104425,0.05590194,0.958002332,
114458,0.248090332,0.008322084,1,
113915,0.353131749,0.051599684,0.943832865,
114271,0.349281298,0.078872525,1,
114442,0.193350522,0.030313191,1,
113697,0.146994705,0.035535066,0.971153633,
114201,0.181096016,0.038643614,1,
113640,0.347968792,0.01169872,0.688658511,
113783,0.239601355,0.030199862,0.998385176,
114412,1.157034663,0.134712736,1,
113770,0.200246283,0.028092723,1,
113782,0.282115061,0.014603439,1,
113663,0.82575048,0.018248758,1,
114000,0.244615082,0.06299436,1,
113755,0.446467878,0.054507987,0.871197622,
114041,0.495739546,0.090529482,0.990078987,
113908,0.215726518,0.035443064,1,
114279,0.235053469,0.108969257,1,
114161,0.375202792,0.04371975,0.999036783,
114051,0.753252606,0.04045823,1,
114170,0.257962524,0.026160182,0.861539472,
113953,0.577179101,0.106752561,1,
114245,0.208124657,0.026297127,0.856873444,
113753,0.382862087,0.040711442,0.996724436,
113631,0.476008634,0.026459838,0.999960318,
114265,0.177591849,0.095715002,0.924423593,
114188,0.247131398,0.041837191,1,
114189,0.132704622,0.029931891,1,
113730,0.125900871,0.027371306,1,
114047,0.106730716,0.051827994,1,
113644,0.222719758,0.027465414,0.996790648,
114046,1.361738877,0.024491974,0.994800339,
114447,0.237929886,0.10786434,0.861643199,
113723,0.191296017,0.028055817,0.986777121,
114277,0.211605869,0.025157277,1,
113883,0.393004758,0.008903544,0.988007659,
113748,0.705415452,0.056109751,0.842484737,
114330,0.302997083,0.032192719,0.994346182,
114021,0.213080249,0.065877275,0.956452398,
113710,0.174733257,0.042243515,1,
113653,0.167602394,0.024482331,1,
114370,0.361431577,0.0543016,0.966364706,
114132,0.488799222,0.065004628,1,
114096,0.241584287,0.064176101,1,
114015,0.141954579,0.061674921,1,
114077,0.593040108,0.053875039,1,
113964,0.2620277,0.042100216,0.992117275,
113693,0.206227029,0.048612043,0.924195634,
114156,0.302730008,0.051149593,0.992626994,
113831,0.252726856,0.006693153,0.997280683,
114300,0.188998228,0.037664618,0.99998621,
113864,0.385639271,0.011947952,1,
114089,1.398753302,0.027126002,0.993216748,
114250,0.241098571,0.03864368,0.978157962,
114023,0.243747378,0.056968629,1,
114064,0.323088658,0.062301077,1,
114259,0.350547851,0.033167621,1,
113854,0.266050456,0.053134795,1,
113791,0.334680924,0.036480371,0.863296816,
114221,0.177570796,0.056574995,1,
113860,0.424237126,0.085002219,1,
114080,0.735004461,0.040500167,1,
114328,0.855677852,0.132737265,1,
113614,0.277949792,0.023182228,1,
113694,0.31759433,0.022939585,1,
114119,0.472564034,0.018424044,0.966916211,
114173,0.654764578,0.030290297,0.984553365,
114055,0.524794591,0.064954763,1,
114052,0.286096998,0.062481276,1,
114056,0.242661153,0.08635442,1,
114031,0.274235192,0.026027877,1,
114081,0.306994224,0.031659677,1,
114289,0.502249484,0.15145507,1,
114349,0.310682223,0.033802199,0.414231839,
114183,0.093113308,0.052255903,1,
113900,0.352778188,0.041801929,1,
113673,5.993236839,0.025193755,0.99988583,
114359,0.532308919,0.072080884,0.981442251,
114063,0.371386126,0.050849452,1,
114176,0.611737901,0.087761331,0.755926408,
114044,0.089881534,0.010452043,0.983760191,
114151,0.229289477,0.030887013,0.564066298,
114035,0.273782373,0.085490627,0.898196679,
114030,0.145111084,0.000874385,0.998765048,
113635,0.420323044,0.131570958,0.993487939,
114069,1.04787749,0.108315621,0.991464895,
114088,0.307149336,0.098332085,0.685395585,
114213,0.718496647,0.146438603,0.989294773,
114230,1.294271982,0.28758144,1,
114240,0.89927757,0.111421315,0.898147751,
114258,1.951549371,0.338784668,1,
114294,1.693684355,0.205795691,1,
114299,1.972662823,0.242875867,1,
114309,0.774399069,0.264501219,1,
114313,1.559696442,0.236103838,0.980646014,
114322,2.651540973,0.28706888,1,
114388,0.527662742,0.112770464,1,
114417,1.179411213,0.140129471,0.813158678,
